feature,importance
Satisfaction Score,0.4196202631457189
Contract_Month-to-Month,0.07657088048073026
Pc_2,0.06542679638370126
Contract_Two Year,0.05361909863880932
Pc_1,0.042743280644499636
CLTV,0.026498260832918178
Age,0.02640841456326853
Avg Monthly Long Distance Charges,0.025150906207352875
Avg Monthly GB Download,0.021985961504903923
Contract_One Year,0.017034504659842867
Dependents_No,0.016899190735004555
Dependents_Yes,0.015830523633983927
Internet Type_Fiber Optic,0.015642058663075935
Online Security_No,0.013057148258927065
Online Security_Yes,0.012383548005965472
Payment Method_Credit Card,0.009820303444876256
Internet Service_Yes,0.008598428677218347
Internet Type_No,0.007082985434540399
Premium Tech Support_No,0.006764250397241493
Payment Method_Bank Withdrawal,0.006549462649900668
Internet Service_No,0.006503928935084721
Senior Citizen_Yes,0.006032377967851744
Premium Tech Support_Yes,0.005481784953295532
Offer_Offer E,0.005442819053631474
Paperless Billing_No,0.004474763308867003
Married_Yes,0.004297221323557818
Married_No,0.004249350310129691
Senior Citizen_No,0.0041878860950508275
Online Backup_Yes,0.004108672068459031
Paperless Billing_Yes,0.00399868952567406
Internet Type_DSL,0.003995615767023161
Streaming Music_Yes,0.003881447566555573
Online Backup_No,0.0036393392006111515
Unlimited Data_Yes,0.003569193260163339
Streaming Music_No,0.003547094217236006
Multiple Lines_No,0.0034023962816968722
Unlimited Data_No,0.003257853761783003
Streaming TV_No,0.0030163683792509815
Multiple Lines_Yes,0.0029482689149256053
Offer_No,0.002895262636293561
Device Protection Plan_No,0.002888448009436486
Device Protection Plan_Yes,0.0027686114421354565
Streaming Movies_No,0.002703834885712141
Streaming TV_Yes,0.002626957153475299
Streaming Movies_Yes,0.0025684181149684166
Offer_Offer B,0.002541069426011704
Offer_Offer D,0.002394636453386574
Under 30_Yes,0.0021737508529665757
Under 30_No,0.002147628688790765
Payment Method_Mailed Check,0.0018580758517973493
Offer_Offer C,0.001734444291132853
Internet Type_Cable,0.001601166885231263
Offer_Offer A,0.0013763574553341763
Total Extra Data Charges,0.0
Total Refunds,0.0
Number of Dependents,0.0
